Nr,Nafn,Breidd,Lengd,Haed,Dags,Vindatt,VindattAsc,VindattAscEng,Vindhradi,Vindhvida,Hiti,Veghiti,Umf10Min,UmfSum,Raki,Daggarmark,VindattStDev,Loftthrystingur,Sjavarhaed,PntX,PntY,IdButur1,IdButur2,Nr_Vedurstofa,Status
3,Holtavörðuheiði,64.990369,-21.058507,407,14.1.2024 12:50:00,14,NNA,NNE,6.057,7.15,-10.78,-7.94,7,165,96.7,-11.202,NA,NA,NA,402879.358,500507.739,904060027,NA,32097,DWTRHCS
101,Festarfjall,63.859483,-22.343583,135,14.1.2024 12:50:00,20,NNA,NNE,5.34,8.43,-4.75,-1.2,0,53,76.5,-8.251,9.34,NA,NA,335629.982,377201.04,903440027,NA,31365,DWTRHCS
17,Sandskeið,64.062432,-21.557643,181,14.1.2024 12:50:00,56,NA,NE,0.272,1.372,-8.55,-5.37,132,3041,85.9,-10.486,8.31,NA,NA,375157.5,398004.8,902010027,NA,31488,DWTRHCS
36,Kjalarnes,64.210665,-21.766621,38,14.1.2024 12:50:00,339,NNV,NNW,3.224,5.39,-4.802,-5.516,95,1955,64.91,-10.397,59.87,NA,NA,365686.2,414944,1404570027,903030027,31579,DWTRHCS
85,Stórholt,64.986,-22.808383,70,14.1.2024 12:50:00,71,ANA,ENE,3.845,5.88,-5.671,-3.305,6,114,81.1,-8.397,7.515,NA,NA,320367.544,503851.67,904320027,NA,31950,DWTRHCS
45,Mývatnsheiði,65.614283,-17.2169,350,14.1.2024 12:50:00,303,VNV,WNW,4.148,5.586,-10.71,-7.64,8,87,95.7,-11.263,NA,NA,NA,582168.871,569645.213,910020027,NA,33394,DWTRHCS
49,Vatnsskarð eystra,65.562317,-13.9896,440,14.1.2024 12:50:00,306,NV,NW,20.82,24.5,-10.09,-5.022,1,22,97,-10.475,NA,NA,NA,731137.093,571856.567,911160027,NA,34382,DWTRHCS
110,Græfur,65.168167,-14.33895,322,14.1.2024 12:50:00,331,NNV,NNW,7.77,11.96,-9.68,NA,NA,NA,71.68,-13.84,8,NA,NA,718288.484,526798.92,911210027,NA,NA,DWTH
113,Kauptún,64.07965,-21.902867,42,14.1.2024 12:50:00,93,A,E,1.057,1.764,-6.353,-5.563,NA,NA,78.66,-9.453,12.39,NA,NA,358405.857,400650.071,903110027,NA,31475,DWTRH
114,Víkurgerði,64.895612,-13.854695,40,14.1.2024 12:50:00,290,VNV,WNW,11.19,15.19,-6.614,-4.312,NA,NA,61.23,-12.85,7.713,NA,NA,743389.978,498272.898,911270027,NA,35985,DWTRH
116,Borgarhöfn,64.184833,-15.8145,20,14.1.2024 12:50:00,106,ASA,ESE,3.16,3.626,-5.142,-6.313,1,115,46.85,-14.761,3.454,NA,NA,654778.469,413025.137,912060027,NA,35116,DWTRHCS
109,Arnarnesvegur,64.088752,-21.836569,116.4,14.1.2024 12:50:00,122,ASA,ESE,1.453,2.254,-6.383,-4.875,NA,NA,80.6,-9.171,13.52,NA,NA,361683,401517,914630027,NA,31109,DWTRH
118,Reykjanesviti,63.815605,-22.704321,20,14.1.2024 12:50:00,32,NNA,NNE,10.14,13.62,-3.48,NA,NA,NA,72.39,-7.735,4.285,1024,NA,317629,373306,304430027,NA,31640,DWTH
119,Tíðaskarð,64.287033,-21.811983,65,14.1.2024 12:50:00,32,NNA,NNE,8.12,11.66,-6.387,-2.602,14,189,70.04,-10.956,10.83,NA,NA,363863.982,423546.332,903350027,NA,31578,DWTRHCS
120,Saurbæjarás,66.131683,-18.902283,56,14.1.2024 12:40:00,25,NNA,NNE,4.494,5.978,-7.486,-5.901,10,144,77.12,-10.806,6.21,NA,NA,504414.397,626184.681,909310027,NA,NA,DWTRHCS
299,Dynjandisheiði við sýslumörk,65.709533,-23.20685,502,14.1.2024 12:50:00,25,NNA,NNE,3.514,4.998,-10.71,NA,NA,NA,77.83,-13.828,6.998,NA,NA,306963.391,585532.007,905310027,NA,NA,DWTH
123,Dettifoss,65.81495,-16.443083,373,14.1.2024 12:50:00,348,NNV,NNW,6.722,8.04,-10.53,NA,NA,NA,94.5,-11.242,3.685,NA,NA,616906.673,593225.691,910280027,913310027,NA,DWTRH
124,Flatey á Breiðafirði,65.371944,-22.928889,13,14.1.2024 12:50:00,57,ANA,ENE,7.505,10.68,-5.788,NA,NA,NA,67.82,-10.786,10.75,NA,NA,317363.196,547144.02,940200027,940210027,NA,DWTH
2159,Stórhöfði,63.399567,-20.28825,118,14.1.2024 12:50:00,4,N,N,10.05,12.84,-3.01,NA,NA,NA,58,-10.124,NA,NA,NA,435599.808,322231.561,NA,NA,6017,DWTH
2141,Dalatangi,65.26815,-13.574967,10,14.1.2024 12:40:00,338,NNV,NNW,10.91,16.56,-6.02,NA,NA,NA,82,-8.596,NA,1030.4,NA,753030.639,540758.529,NA,NA,4193,DWTPH
2147,Rauðinúpur,66.5082,-16.544383,59.3,14.1.2024 12:50:00,9,N,N,12.45,17.18,-6.91,NA,NA,NA,82,-9.467,NA,1035.4,NA,609274.993,670297.792,NA,NA,4912,DWTPH
2146,Fontur,66.37835,-14.532583,43,14.1.2024 12:40:00,0,N,N,7.9,12.6,-5.8,NA,NA,NA,87,-7.617,NA,1031.9,NA,699707.336,660751.066,NA,NA,4867,DWTPH
2180,Straumsvík,64.0438,-22.04045,7,14.1.2024 12:50:00,184,S,S,1.66,2.65,-4.18,NA,NA,NA,80,-7.117,NA,1033.8,NA,351507.817,396973.462,903140027,NA,1473,DWTPH
2183,Eyrarbakki,63.8692,-21.1602,NA,14.1.2024 12:40:00,31,NNA,NNE,8.47,11.5,-6.57,NA,NA,NA,69,-11.32,NA,1033.9,NA,393813.073,375750.947,902150027,NA,1395,DWTPH
2184,Hólmsheiði,64.1085,-21.686367,130,14.1.2024 12:40:00,129,SA,SE,1.46,3.46,-6.53,NA,NA,NA,75,-10.23,NA,NA,NA,369096.172,403396.608,903060027,NA,1481,DWTH
2185,Geldinganes,64.167783,-21.8038,35,14.1.2024 12:50:00,186,S,S,1.31,1.67,-5.19,NA,NA,NA,75,-8.932,NA,NA,NA,363670.472,410247.645,NA,NA,1480,DWTH
2186,Garðabær - Urriðaholt,64.071167,-21.910667,37,14.1.2024 12:40:00,52,NA,NE,1.9,2.6,-6,NA,NA,NA,75,-9.717,NA,1033.8,NA,357982.133,399722.816,NA,NA,1474,DWTPH
2172,Hella,63.825683,-20.365383,20,14.1.2024 12:40:00,32,NNA,NNE,11.9,14.5,-6.7,NA,28,773,63,-12.579,NA,NA,NA,432770.509,369810.98,901230027,901290027,6315,DWTHCS
2,Þverfjall,66.044433,-23.30745,753,14.1.2024 12:50:00,74,ANA,ENE,8.66,10.72,-12.51,NA,NA,NA,97,-12.888,NA,1038.2,NA,304896.884,623100.685,NA,NA,2636,DWTPH
2173,Höfn í Hornafirði,64.2557,-15.209,3.9,14.1.2024 12:40:00,334,NNV,NNW,15.89,21.09,-6,NA,NA,NA,59,-12.729,NA,1030.5,NA,683692.832,422534.496,912050027,NA,5544,DWTPH
2101,Reykjavík,64.12755,-21.902,52,14.1.2024 12:40:00,88,A,E,1.29,1.89,-5.38,NA,NA,NA,67,-10.549,NA,1034,NA,358693.151,405982.54,914500027,914170027,1475,DWTPH
2102,Korpa,64.150533,-21.751067,35,14.1.2024 12:50:00,140,SA,SE,2.39,3.3,-6.5,NA,NA,NA,71,-10.893,NA,NA,NA,366149.236,408213.745,903020027,NA,1479,DWTH
192,Krepputunga,65.06065,-16.2104,563,14.1.2024 12:50:00,347,NNV,NNW,5.24,7.68,-11.81,NA,NA,NA,84,-13.967,NA,NA,NA,631248.629,509657.772,913720027,NA,4019,DWTH
2123,Súðavík,66.0426,-22.98605,10.9,14.1.2024 12:50:00,68,ANA,ENE,3.88,5.95,-5.44,NA,NA,NA,73,-9.519,NA,NA,NA,319421.526,621941.679,906140027,NA,2646,DWTH
2124,Gjögur,65.995083,-21.330367,31,14.1.2024 12:50:00,34,NA,NE,6.61,9.11,-5.03,NA,NA,NA,73,-9.123,NA,1038.4,NA,394186.955,612898.398,907140027,NA,2692,DWTPH
2135,Húsavík,66.041817,-17.328083,28.2,14.1.2024 12:50:00,342,NNV,NNW,3.96,7.02,-7.04,NA,NA,NA,79,-10.068,NA,1037.6,NA,575785.877,617161.618,910120027,NA,3696,DWTPH
2138,Grímsey,66.543783,-18.016733,19,14.1.2024 12:00:00,8,N,N,7.35,11.14,-7.38,NA,NA,NA,68.2,-12.243,11.7,1035.62,NA,543702.895,672484.221,940300027,NA,3975,DWTPH
2151,Kambanes,64.801233,-13.8423,29.8,14.1.2024 12:40:00,288,VNV,WNW,8.1,13.2,-6,NA,NA,NA,58,-12.94,NA,1030.8,NA,744832.462,487834.265,911400027,NA,5885,DWTPH
199,Veiðivatnahraun,64.3951,-18.504767,647,14.1.2024 12:00:00,45,NA,NE,5.16,7.15,-13.22,NA,NA,NA,NA,NA,NA,1036.1,NA,523888.925,432658.966,NA,NA,6657,DWTP
198,Búrfell,64.116833,-19.74485,249,14.1.2024 12:40:00,59,ANA,ENE,13.3,17.08,-9.33,NA,NA,NA,65,-14.7,NA,1035.2,NA,463705.101,401757.703,902110027,NA,6430,DWTPH
196,Kolka,65.231339,-19.713246,504,14.1.2024 12:00:00,4,N,N,4.29,4.64,-13.17,NA,0,0,85,-15.159,NA,1038.9,NA,466646.792,525979.022,913250027,NA,3225,DWTPHCS
